Year,stat1,stat2,stat3,stat4,stat5,stat6,stat7,stat8,stat9,stat10,stat11,stat12,stat13,stat14,stat15,stat16,stat17,stat18,stat19,stat20,stat21,stat22,stat23
1970,24.7587257617728,25.6135616438356,NaN,25.6431506849315,25.8005479452055,25.8428333333333,25.6151685393258,NaN,25.8684931506849,25.4806849315069,25.1117808219178,NaN,24.9880952380952,25.7865753424658,25.9295454545455,27.1245205479452,25.6809589041096,26.0480821917808,NaN,NaN,24.818904109589,26.4011976047904,NaN
1971,24.856862745098,25.0025210084034,NaN,25.5813698630137,25.847397260274,26.041456582633,25.7215068493151,NaN,25.5668103448276,25.3649315068493,25.3321100917431,NaN,24.8639726027397,25.8314404432133,26.0620762711864,26.7347945205479,25.5038888888889,26.1402203856749,NaN,NaN,25.0247945205479,26.3204986149585,NaN
1972,24.4785123966942,26.9779069767442,25.3020491803279,25.0411202185792,25.5979395604396,25.8289473684211,24.9796448087432,NaN,25.2833798882682,25.3363387978142,24.5672651933702,NaN,24.1571038251366,25.7582386363636,25.5433628318584,27.1309065934066,25.2323708206687,25.951912568306,NaN,NaN,24.4042349726776,25.8168918918919,23.9965317919075
1973,25.2245879120879,25.9011194029851,26.0030303030303,25.875,26.1106849315068,26.2759722222222,25.7716867469879,NaN,25.7865013774105,25.8761643835616,25.3220385674931,NaN,25.1686301369863,26.0616246498599,26.2560344827586,27.3678082191781,26.1717171717172,26.3307471264368,NaN,NaN,25.1931129476584,26.3392857142857,25.2808011049724
1974,25.0530470914127,25.0154320987654,25.8108815426997,25.6467123287671,25.7991758241758,26.2267123287671,25.5760273972603,NaN,25.8313698630137,25.5593150684931,25.2976584022039,NaN,25.0550684931507,25.6528767123288,25.6006607929515,27.0980821917808,26.4783898305085,26.3368493150685,NaN,NaN,24.8767964071856,26.3443835616438,25.4727450980392
1975,25.141225626741,25.627397260274,26.0873177842566,25.8620547945205,26.0693150684932,26.175671641791,25.6345730027548,NaN,25.888904109589,25.8572602739726,25.5575342465753,NaN,25.0782191780822,25.7285971223022,25.6590909090909,27.1349315068493,25.567032967033,26.0519498607242,NaN,NaN,25.1891966759003,26.1652960526316,25.322676056338
1976,24.7968144044321,25.5531420765027,25.6553278688525,25.5587431693989,25.8882513661202,26.1487704918033,25.2107923497268,NaN,25.5967213114754,25.6322404371585,25.2099726775956,NaN,24.8072404371585,25.4737980769231,25.2848017621145,27.021174863388,25.7366379310345,26.0155027932961,NaN,NaN,24.7061475409836,26.2595628415301,25.0696721311475
1977,24.4888736263736,25.3393150684931,25.2405479452055,25.3109589041096,25.7305479452055,25.6320359281437,24.9942465753425,NaN,25.3245205479452,25.4619178082192,24.5531506849315,NaN,24.5824657534247,24.9396907216495,24.686866359447,27.2101369863014,25.4091922005571,25.9945906432748,NaN,NaN,24.4595890410959,25.9591780821918,24.5456164383562
1978,24.4619047619048,25.1902739726027,25.2856164383562,25.1221917808219,25.5456164383562,25.626301369863,24.9549315068493,NaN,25.3621212121212,25.2050684931507,24.4199724517906,NaN,24.4480821917808,24.9607558139535,25.1616379310345,27.0808219178082,25.4014035087719,26.0079452054795,NaN,25.9793918918919,24.2588323353293,25.9542582417582,24.4760273972603
1979,24.8643854748603,25.7356125356125,25.637397260274,25.3501385041551,25.6942465753425,25.8925414364641,25.2998630136986,NaN,25.5605479452055,25.4179945054945,24.6860273972603,NaN,24.4819178082192,25.2981884057971,25.0862068965517,26.9980821917808,25.3146126760563,26.1724657534247,NaN,26.6609589041096,24.7152112676056,26.0276712328767,24.612602739726
