Year,stat1,stat2,stat3,stat4,stat5,stat6,stat7,stat8,stat9,stat10,stat11,stat12,stat13,stat14,stat15,stat16,stat17,stat18,stat19,stat20,stat21,stat22,stat23
1970,28.2698060941828,30.5468493150685,NaN,28.7761643835616,29.3791780821918,28.609,28.2460674157303,NaN,28.3202739726027,30.0208219178082,28.553698630137,NaN,27.1538461538462,28.961095890411,31.9810606060606,29.9115068493151,28.3660273972603,28.8427397260274,NaN,NaN,27.4416438356164,28.7874251497006,NaN
1971,28.7633053221289,29.9798319327731,NaN,29.0742465753425,29.3649315068493,29.1271708683473,28.4391780821918,NaN,28.3278735632184,30.027397260274,29.2752293577982,NaN,26.9980821917808,28.9047091412743,31.8118644067797,29.5334246575342,28.6427777777778,28.9140495867769,NaN,NaN,28.1268493150685,28.6806094182826,NaN
1972,27.9515151515152,31.3860465116279,28.0243169398907,28.1232240437159,29.3651098901099,28.6772853185596,27.4535519125683,NaN,27.8583798882682,29.9524590163934,28.0646408839779,NaN,26.3273224043716,28.43125,31.0712389380531,29.7395604395604,27.9227963525836,28.5385245901639,NaN,NaN,27.0724043715847,28.1097972972973,28.3300578034682
1973,28.6936813186813,30.5410447761194,28.864738292011,28.9917582417582,29.9276712328767,29.0738888888889,28.3439759036145,NaN,28.2606060606061,30.546301369863,28.8198347107438,NaN,27.3194520547945,28.8106442577031,31.3495689655172,29.9465753424658,28.9750841750842,29.0172413793103,NaN,NaN,27.8531680440771,28.6542857142857,29.2908839779005
1974,28.7326869806094,31.0024691358025,28.8831955922865,29.0221917808219,29.1604395604396,29.2580821917808,28.2706849315068,NaN,28.561095890411,30.2320547945206,29.062258953168,NaN,27.3558904109589,28.6482191780822,31.0753303964758,29.7578082191781,30.0745762711864,29.3457534246575,NaN,NaN,27.8197604790419,29.0783561643836,29.7490196078431
1975,28.708635097493,30.9071232876712,28.9209912536443,29.3002739726027,29.4449315068493,29.1298507462687,28.3085399449036,NaN,28.6438356164384,30.4361643835616,29.2347945205479,NaN,27.2980821917808,28.3320143884892,30.8753246753247,29.7657534246575,28.932967032967,29.0896935933148,NaN,NaN,27.9307479224377,29.1470394736842,29.5974647887324
1976,28.4060941828255,30.8560109289617,28.6401639344262,28.9726775956284,29.0606557377049,29.1393442622951,28.0387978142077,NaN,28.3445355191257,30.448087431694,28.9300546448087,NaN,27.2997267759563,28.1759615384615,30.5550660792952,29.6005464480874,28.8991379310345,29.1930167597765,NaN,NaN,27.6784153005464,28.9770491803279,29.4792349726776
1977,28.0263736263736,30.8860273972603,28.2016438356164,28.6131506849315,29.2153424657534,28.5017964071856,27.9545205479452,NaN,27.9079452054794,30.3172602739726,28.0816438356164,NaN,26.9786301369863,28.310824742268,30.6023041474654,29.5728767123288,28.3484679665738,28.9388888888889,NaN,NaN,27.2150684931507,28.5457534246575,29.2194520547945
1978,28.0366946778712,30.9191780821918,28.1378082191781,28.5249315068493,29.2312328767123,28.4997260273973,27.7419178082192,NaN,27.8994490358127,30.1413698630137,27.9082644628099,NaN,26.8186301369863,28.6133720930233,31.4590517241379,29.8071232876712,28.5757894736842,28.8997260273973,NaN,28.7466216216216,27.0673652694611,28.6203296703297,29.267397260274
1979,28.4145251396648,30.9076923076923,28.3575342465753,28.585595567867,29.7008219178082,28.7745856353591,28.0065753424658,NaN,28.145205479452,30.2326923076923,28.281095890411,NaN,26.8550684931507,29.493115942029,31.1012931034483,29.9213698630137,28.9200704225352,29.1221917808219,NaN,29.2057534246575,27.9059154929577,28.7876712328767,29.1720547945205
1980,28.5116991643454,31.0756446991404,28.2260273972603,28.5367123287671,29.5948087431694,28.6491803278689,28.05,22.681679389313,28.1863387978142,30.4874316939891,28.0972299168975,NaN,27.0243169398907,29.0078853046595,31.184375,29.9855191256831,29.3391634980989,29.4079234972678,NaN,29.2355191256831,27.994262295082,29.2049180327869,29.3192307692308
1981,28.7738292011019,31.0160112359551,28.5178082191781,28.7745205479452,29.6627397260274,28.8553903345725,28.4580821917808,23.2442307692308,28.1756164383562,30.3085164835165,28.3386301369863,NaN,27.4057692307692,28.5253846153846,31.1398305084746,30.0769863013699,29.5878472222222,29.7235616438356,NaN,28.896996996997,28.3453038674033,29.898904109589,29.4306849315068
1982,28.1523287671233,30.522625698324,28.3158904109589,28.4624657534247,29.9249315068493,28.5979228486647,28.1087671232877,22.9287671232877,28.0676712328767,30.2298630136986,28.0046575342466,NaN,26.8265753424658,27.8753303964758,31.3266666666667,30.0643835616438,29.0027397260274,29.2895480225989,NaN,28.8386301369863,27.8576368876081,29.5432876712329,29.2099173553719
1983,28.1084931506849,30.7472067039106,28.1747945205479,28.6241095890411,30.1775342465753,28.2684357541899,28.0252054794521,22.9128133704735,27.8821917808219,30.8986301369863,27.8684931506849,NaN,26.8584045584046,28.0361990950226,32.1756613756614,29.987397260274,29.0756446991404,29.3704109589041,NaN,29.4254794520548,27.9150684931507,29.8608219178082,29.2778711484594
1984,28.8131506849315,30.498833819242,28.7161202185792,29.3890710382514,29.9748633879781,28.8243169398907,28.7357923497268,23.5404371584699,28.5005494505494,30.720218579235,28.6295081967213,NaN,27.833137829912,28.4632450331126,30.9902027027027,29.8781420765027,29.2780058651026,29.5292011019284,NaN,29.5704918032787,28.5415300546448,30.4085399449036,30.0032876712329
1985,28.5186301369863,30.5810734463277,28.3383561643836,28.7120547945206,29.5794520547945,28.7086834733894,28.2978082191781,23.232602739726,28.273,30.368044077135,28.2797260273973,NaN,27.561095890411,28.9773333333333,30.8879120879121,29.8882191780822,29.785393258427,29.6997237569061,30.3608695652174,29.1861963190184,28.0106849315068,29.7657458563536,29.7861495844875
