Year,stat1,stat2,stat3,stat4,stat5,stat6,stat7,stat8,stat9,stat10,stat11,stat12,stat13,stat14,stat15,stat16,stat17,stat18,stat19,stat20,stat21,stat22,stat23
1970,21.24764543,20.68027397,NaN,22.51013699,22.22191781,23.07666667,22.98426966,NaN,23.41671233,20.94054795,21.66986301,NaN,22.82234432,22.61205479,19.8780303,24.33753425,22.99589041,23.25342466,NaN,NaN,22.19616438,24.01497006,NaN
1971,20.95042017,20.02521008,NaN,22.08849315,22.32986301,22.9557423,23.00383562,NaN,22.80574713,20.70246575,21.38899083,NaN,22.72986301,22.75817175,20.31228814,23.93616438,22.365,23.36639118,NaN,NaN,21.92273973,23.96038781,NaN
1972,21.00550964,22.56976744,22.57978142,21.95901639,21.83076923,22.98060942,22.5057377,NaN,22.70837989,20.72021858,21.0698895,NaN,21.98688525,23.08522727,20.01548673,24.52225275,22.54194529,23.36530055,NaN,NaN,21.73606557,23.52398649,19.66300578
1973,21.75549451,21.26119403,23.14132231,22.75824176,22.29369863,23.47805556,23.19939759,NaN,23.31239669,21.2060274,21.82424242,NaN,23.01780822,23.31260504,21.1625,24.7890411,23.36835017,23.64425287,NaN,NaN,22.53305785,24.02428571,21.27071823
1974,21.3734072,19.02839506,22.73856749,22.27123288,22.43791209,23.19534247,22.88136986,NaN,23.10164384,20.88657534,21.53305785,NaN,22.75424658,22.65753425,20.12599119,24.43835616,22.88220339,23.32794521,NaN,NaN,21.93383234,23.61041096,21.19647059
1975,21.57381616,20.34767123,23.25364431,22.42383562,22.69369863,23.22149254,22.96060606,NaN,23.1339726,21.27835616,21.88027397,NaN,22.85835616,23.12517986,20.44285714,24.50410959,22.2010989,23.01420613,NaN,NaN,22.44764543,23.18355263,21.04788732
1976,21.18753463,20.25027322,22.6704918,22.14480874,22.71584699,23.15819672,22.38278689,NaN,22.8489071,20.81639344,21.48989071,NaN,22.3147541,22.77163462,20.01453744,24.44180328,22.57413793,22.83798883,NaN,NaN,21.73387978,23.5420765,20.66010929
1977,20.95137363,19.79260274,22.27945205,22.00876712,22.24575342,22.76227545,22.0339726,NaN,22.74109589,20.60657534,21.02465753,NaN,22.18630137,21.5685567,18.77142857,24.84739726,22.46991643,23.0502924,NaN,NaN,21.70410959,23.37260274,19.87178082
1978,20.88711485,19.46136986,22.43342466,21.71945205,21.86,22.75287671,22.16794521,NaN,22.82479339,20.26876712,20.93168044,NaN,22.07753425,21.30813953,18.86422414,24.35452055,22.22701754,23.11616438,NaN,23.21216216,21.4502994,23.28818681,19.68465753
1979,21.31424581,20.56353276,22.91726027,22.11468144,21.68767123,23.01049724,22.59315068,NaN,22.97589041,20.6032967,21.0909589,NaN,22.10876712,21.10326087,19.07112069,24.07479452,21.70915493,23.22273973,NaN,24.11616438,21.52450704,23.26767123,20.05315068
1980,21.34568245,20.75673352,22.87369863,22.37178082,21.79398907,23.24699454,22.64125683,16.83664122,23.05928962,20.58196721,21.4634349,NaN,22.13606557,21.28387097,19.14955357,23.44945355,21.73193916,23.18907104,NaN,24.24972678,21.2715847,23.18278689,19.8771978
1981,21.20027548,20.2761236,22.58027397,22.18465753,21.75205479,21.16914498,22.61972603,16.71538462,23.05041096,20.4532967,21.30849315,NaN,22.04203297,21.81038462,18.94957627,24.31287671,21.55659722,23.04657534,NaN,23.97027027,21.00359116,23.10684932,18.99506849
1982,21.4909589,20.72821229,22.63835616,22.32958904,21.86109589,22.92551929,22.55643836,17.00712329,23.08520548,20.98410959,21.48273973,NaN,21.51917808,23.20837004,19.89333333,24.25424658,22.22136986,22.67514124,NaN,24.2,20.38040346,23.17890411,19.98539945
1983,21.43835616,20.00586592,22.60246575,22.31424658,21.97945205,22.9273743,22.51945205,16.94874652,22.94630137,20.63315068,21.47260274,NaN,21.81766382,23.30769231,18.88624339,24.51890411,21.69169054,23.04356164,NaN,24.25232877,20.36273973,23.60109589,20.06386555
1984,21.66958904,20.32682216,22.77377049,22.40491803,22.3704918,23.10382514,22.97978142,17.32650273,22.8467033,20.99098361,21.73770492,NaN,22.90293255,23.21655629,19.27263514,24.09153005,21.70469208,23.50192837,NaN,24.32978142,20.86530055,23.68512397,20.72739726
1985,21.22493151,20.12711864,22.60273973,22.35835616,22.20712329,22.93529412,22.81342466,17.11205479,23.073,20.81652893,21.52630137,NaN,22.52,22.93911111,19.99093407,24.55589041,21.76629213,23.34640884,24.47826087,24.2196319,21.38164384,23.8718232,20.54404432
1986,20.38465753,20.10385757,22.31972603,22.12547945,21.67041096,22.10328767,22.29232877,16.68109589,22.72739726,20.32027397,21.21479452,NaN,21.94849315,21.91519337,19.13616438,24.52109589,21.83240997,23.36401099,23.27726027,24.00164384,21.26794521,23.67232877,20.06109589
1987,20.3738292,19.85726027,22.50630137,22.22958904,21.73890411,22.30931507,22.4260274,16.58016529,22.83753425,20.23835616,21.21369863,NaN,22.04219178,22.34630137,18.97506849,23.95260274,22.27768595,23.77726027,23.21904762,24.16219178,21.17150685,24.83194444,19.56952909
1988,22.01168091,21.21163435,23.33825137,23.01010929,22.47994505,22.44864865,23.45874317,18.04953846,23.51193182,21.52349727,22.19289617,NaN,23.13251366,23.26445783,19.88406593,24.38797814,23.16483516,24.22111111,22.99340659,24.73770492,22.00163934,24.30641711,20.8265928
1989,21.44083333,20.33452055,22.61205479,22.29123288,21.66814404,23.1957265,23.33301887,17.41088235,23.04273973,20.63763736,21.43452055,NaN,22.67013699,22.36630137,19.43342466,24.46273973,22.74204204,23.90080321,23.65452055,24.12215743,21.33286908,23.90688705,20.15801105
1990,21.54240688,20.41561644,22.70630137,22.55205479,21.7690411,23.52395543,22.07222222,17.62699725,23.25123288,20.37287671,21.66895604,NaN,22.40138122,22.51835616,19.93863014,24.82975207,22.84191781,23.51315068,23.47315068,24.12876712,21.21534247,23.63760684,20.27874251
1991,21.04447514,20.90432277,22.47287671,22.50027397,22.01868132,23.31643836,22.24356164,17.2260274,23.46556474,21.06493151,21.55835616,NaN,22.42362637,22.19315068,20.24931507,24.78849315,21.43283582,23.64088398,23.77178082,24.30739726,20.85506849,23.53114286,20.22630137
1992,21.43104396,20.8420765,22.79699454,23.09808743,21.83296703,23.33005464,22.5420765,17.1739726,23.16120219,20.5636612,21.60710383,21.36629213,22.3543956,22.25136612,19.9136612,24.95983607,21.78916084,23.95,23.66338798,24.26912568,20.88278689,22.97591036,19.42477612
1993,21.16371191,20.38328767,22.91671233,22.31101928,21.3465374,23.05421687,22.19178082,16.78625731,22.94328767,20.57041096,21.38131868,21.10977011,21.82082192,21.4260274,19.6441989,24.70821918,22.39753425,23.71067416,23.38493151,23.93186813,21.48465753,22.93123288,19.74885057
1994,21.06,20.28199446,22.68958904,22.30520548,21.48842975,23.05013699,22.49890411,16.30337423,23.28082192,20.83068493,21.31972603,21.03253731,22.66982456,21.99506849,19.84958904,24.51830065,22.93130435,23.44378531,23.25232877,23.85890411,21.77260274,23.14958904,19.79916667
1995,21.70849315,21.04197183,23.07758621,22.76219178,22.01369863,23.29143646,23.11287671,17.52082192,23.74356164,21.14109589,21.91863014,21.44281768,22.63835616,22.66173184,20.48986301,24.66219178,23.13518519,23.9939726,23.30191781,24.49285714,22.35726027,24.24794521,20.4140884
1996,21.76639344,20.80560224,22.91010929,22.87431694,22.31884058,23.09234973,23.2226776,17.57978142,23.80765027,21.16584699,22.00191257,21.60027322,22.91256831,22.22704918,20.51967213,24.9420765,22.84352617,24.05027322,23.82213115,24.11912568,22.48907104,24.26748634,20.11655629
1997,18.92903226,20.25506849,22.68054795,22.81726027,21.80794521,22.95164835,22.74986301,17.05808219,23.36849315,21.11945205,21.36821918,21.16136986,22.06401099,21.88365651,20.11184573,24.74273973,22.60285714,23.6782967,22.96986301,23.13538462,22.08126722,23.31476323,19.92596491
1998,21.68986301,20.37692308,22.95359116,22.92849315,22.35182073,23.06017964,23.52005571,18.34827586,23.76794521,21.51868132,21.5569863,21.57774566,22.60109589,22.25150685,20.23369863,25.10657534,22.66104651,24.10054795,23.34917582,22.88130312,22.41890411,24.25714286,20.62640264
1999,22.11178082,21.56876712,23.21280992,22.90526316,22.41643836,24.31296296,23.48153846,17.86265432,23.55753425,21.61239669,21.93972603,21.7,24.21971831,22.32958904,21.04182825,24.21506849,23.13406593,24.31262626,23.98709677,21.99324895,22.33195592,24.0166065,21.03633634
2000,22.13081232,21.53825137,23.40653409,23.08251366,22.58196721,NaN,NaN,18.33536585,23.70819672,21.79289617,22.13060109,21.76256831,21.18317757,22.37978142,21.22371429,24.3775,23.41609907,NaN,23.91935484,NaN,22.46065574,NaN,21.44940828
2001,21.88093923,21.2240113,23.15414365,22.86986301,22.46493151,22.75673469,NaN,18.09530387,23.89205479,21.66986301,21.9060274,21.15988701,22.87527473,22.42704225,20.53363636,24.8038674,23.52763533,24.20967742,23.90575342,NaN,21.75808383,22.81533333,20.91550152
2002,22.53400576,21.69150685,23.40967742,23.16219178,22.6369863,23.71347305,23.22608696,18.28869048,24.06823204,22.00657534,22.26630137,21.87937853,22.11790634,22.4481268,21.3407855,25.09178082,24.00119403,24.21575092,24.05628743,24.70689655,21.7047619,22.80333333,21.10775862
